"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"extensions=all 返回预报数据，应包含 forecasts 字段","877","test_forecast_weather","testcases.api","Wed Apr 08 04:41:13 UTC 2026","passed","Wed Apr 08 04:41:14 UTC 2026","TestWeatherAPI","test_weather","",""
"API 响应 Content-Type 应为 application/json","58","test_content_type_is_json","testcases.api","Wed Apr 08 04:41:05 UTC 2026","passed","Wed Apr 08 04:41:06 UTC 2026","TestGitHubResponseHeaders","test_github","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[123456]","testcases.ui","Wed Apr 08 04:41:16 UTC 2026","broken","Wed Apr 08 04:41:16 UTC 2026","TestBaiduSearch","test_baidu","",""
"登录成功后页面应有退出链接，且不再显示登录按钮","0","test_login_redirect_and_elements","testcases.ui","Wed Apr 08 04:41:16 UTC 2026","broken","Wed Apr 08 04:41:16 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"不传 Key 应返回鉴权失败","873","test_missing_api_key","testcases.api","Wed Apr 08 04:41:12 UTC 2026","passed","Wed Apr 08 04:41:13 UTC 2026","TestWeatherAPI","test_weather","",""
"错误用户名或密码应显示错误提示，不得登录成功","0","test_login_with_invalid_credentials[wrong_both]","testcases.ui","Wed Apr 08 04:41:16 UTC 2026","broken","Wed Apr 08 04:41:16 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"按关键词搜索仓库，应返回结果且字段完整","248","test_search_repo_by_keyword[playwright]","testcases.api","Wed Apr 08 04:41:03 UTC 2026","passed","Wed Apr 08 04:41:03 UTC 2026","TestGitHubSearchRepo","test_github","",""
"不存在的仓库应返回 404","82","test_get_nonexistent_repo","testcases.api","Wed Apr 08 04:41:04 UTC 2026","passed","Wed Apr 08 04:41:04 UTC 2026","TestGitHubRepo","test_github","",""
"不存在的用户名应返回 404","83","test_get_nonexistent_user","testcases.api","Wed Apr 08 04:41:04 UTC 2026","passed","Wed Apr 08 04:41:04 UTC 2026","TestGitHubUser","test_github","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[   ]","testcases.ui","Wed Apr 08 04:41:16 UTC 2026","broken","Wed Apr 08 04:41:16 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[\u81ea\u52a8\u5316\u6d4b\u8bd5]","testcases.ui","Wed Apr 08 04:41:15 UTC 2026","broken","Wed Apr 08 04:41:15 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","882","test_get_weather_success[440300-\u6df1\u5733]","testcases.api","Wed Apr 08 04:41:08 UTC 2026","passed","Wed Apr 08 04:41:09 UTC 2026","TestWeatherAPI","test_weather","",""
"登录成功后截图，附加到 Allure 报告","0","test_login_success_screenshot","testcases.ui","Wed Apr 08 04:41:17 UTC 2026","broken","Wed Apr 08 04:41:17 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"获取 torvalds 用户信息，字段应完整","99","test_get_known_user","testcases.api","Wed Apr 08 04:41:04 UTC 2026","passed","Wed Apr 08 04:41:04 UTC 2026","TestGitHubUser","test_github","",""
"获取仓库贡献者列表，返回数组且字段完整
        注：torvalds/linux 贡献者数量过大，GitHub API 会返回 403，
        改用 pytest/pytest（规模适中的知名仓库）
        ","332","test_get_repo_contributors","testcases.api","Wed Apr 08 04:41:05 UTC 2026","passed","Wed Apr 08 04:41:05 UTC 2026","TestGitHubRepo","test_github","",""
"按关键词搜索仓库，应返回结果且字段完整","314","test_search_repo_by_keyword[requests]","testcases.api","Wed Apr 08 04:41:03 UTC 2026","passed","Wed Apr 08 04:41:04 UTC 2026","TestGitHubSearchRepo","test_github","",""
"错误用户名或密码应显示错误提示，不得登录成功","0","test_login_with_invalid_credentials[wrong_username]","testcases.ui","Wed Apr 08 04:41:16 UTC 2026","broken","Wed Apr 08 04:41:16 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"获取 torvalds/linux 仓库详情，字段应完整","155","test_get_known_repo","testcases.api","Wed Apr 08 04:41:04 UTC 2026","passed","Wed Apr 08 04:41:04 UTC 2026","TestGitHubRepo","test_github","",""
"校验顶层响应字段完整性","1860","test_response_fields_completeness","testcases.api","Wed Apr 08 04:41:09 UTC 2026","passed","Wed Apr 08 04:41:11 UTC 2026","TestWeatherAPI","test_weather","",""
"空关键词应返回 422 参数错误","92","test_search_repo_empty_keyword","testcases.api","Wed Apr 08 04:41:04 UTC 2026","passed","Wed Apr 08 04:41:04 UTC 2026","TestGitHubSearchRepo","test_github","",""
