"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"错误用户名或密码应显示错误提示，不得登录成功","0","test_login_with_invalid_credentials[wrong_password]","testcases.ui","Fri Apr 24 04:58:24 UTC 2026","broken","Fri Apr 24 04:58:24 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"打开百度首页，标题应包含'百度'","0","test_homepage_title","testcases.ui","Fri Apr 24 04:58:23 UTC 2026","broken","Fri Apr 24 04:58:23 UTC 2026","TestBaiduSearch","test_baidu","",""
"获取 github 组织信息，字段应完整","90","test_get_known_org","testcases.api","Fri Apr 24 04:58:11 UTC 2026","passed","Fri Apr 24 04:58:11 UTC 2026","TestGitHubOrg","test_github","",""
"登录成功后页面应有退出链接，且不再显示登录按钮","0","test_login_redirect_and_elements","testcases.ui","Fri Apr 24 04:58:24 UTC 2026","broken","Fri Apr 24 04:58:24 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"空字段提交应出现错误提示，不得登录成功","0","test_login_with_empty_fields[empty_password]","testcases.ui","Fri Apr 24 04:58:24 UTC 2026","broken","Fri Apr 24 04:58:24 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"API 响应 Content-Type 应为 application/json","5","test_content_type_is_json","testcases.api","Fri Apr 24 04:58:11 UTC 2026","passed","Fri Apr 24 04:58:11 UTC 2026","TestGitHubResponseHeaders","test_github","",""
"搜索后截图，附加到 Allure 报告","0","test_search_with_screenshot","testcases.ui","Fri Apr 24 04:58:23 UTC 2026","broken","Fri Apr 24 04:58:23 UTC 2026","TestBaiduSearch","test_baidu","",""
"按关键词搜索仓库，应返回结果且字段完整","220","test_search_repo_by_keyword[pytest]","testcases.api","Fri Apr 24 04:58:09 UTC 2026","passed","Fri Apr 24 04:58:09 UTC 2026","TestGitHubSearchRepo","test_github","",""
"不存在的组织应返回 404","51","test_get_nonexistent_org","testcases.api","Fri Apr 24 04:58:11 UTC 2026","passed","Fri Apr 24 04:58:11 UTC 2026","TestGitHubOrg","test_github","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","1455","test_get_weather_success[110000-\u5317\u4eac]","testcases.api","Fri Apr 24 04:58:11 UTC 2026","passed","Fri Apr 24 04:58:13 UTC 2026","TestWeatherAPI","test_weather","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[\u6d4b\u8bd5\u5f00\u53d1\u5de5\u7a0b\u5e08]","testcases.ui","Fri Apr 24 04:58:23 UTC 2026","broken","Fri Apr 24 04:58:23 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","1052","test_get_weather_success[440100-\u5e7f\u5dde]","testcases.api","Fri Apr 24 04:58:14 UTC 2026","passed","Fri Apr 24 04:58:15 UTC 2026","TestWeatherAPI","test_weather","",""
"空关键词应返回 422 参数错误","24","test_search_repo_empty_keyword","testcases.api","Fri Apr 24 04:58:10 UTC 2026","passed","Fri Apr 24 04:58:10 UTC 2026","TestGitHubSearchRepo","test_github","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","1040","test_get_weather_success[440300-\u6df1\u5733]","testcases.api","Fri Apr 24 04:58:15 UTC 2026","passed","Fri Apr 24 04:58:16 UTC 2026","TestWeatherAPI","test_weather","",""
"获取 torvalds/linux 仓库详情，字段应完整","93","test_get_known_repo","testcases.api","Fri Apr 24 04:58:10 UTC 2026","passed","Fri Apr 24 04:58:10 UTC 2026","TestGitHubRepo","test_github","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[@#$%]","testcases.ui","Fri Apr 24 04:58:23 UTC 2026","broken","Fri Apr 24 04:58:23 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[Python]","testcases.ui","Fri Apr 24 04:58:22 UTC 2026","broken","Fri Apr 24 04:58:22 UTC 2026","TestBaiduSearch","test_baidu","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[   ]","testcases.ui","Fri Apr 24 04:58:23 UTC 2026","broken","Fri Apr 24 04:58:23 UTC 2026","TestBaiduSearch","test_baidu","",""
"GitHub API 响应头应包含 Rate-Limit 相关字段","5","test_rate_limit_headers","testcases.api","Fri Apr 24 04:58:11 UTC 2026","passed","Fri Apr 24 04:58:11 UTC 2026","TestGitHubResponseHeaders","test_github","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","1081","test_get_weather_success[310000-\u4e0a\u6d77]","testcases.api","Fri Apr 24 04:58:13 UTC 2026","passed","Fri Apr 24 04:58:14 UTC 2026","TestWeatherAPI","test_weather","",""
"错误用户名或密码应显示错误提示，不得登录成功","0","test_login_with_invalid_credentials[wrong_username]","testcases.ui","Fri Apr 24 04:58:24 UTC 2026","broken","Fri Apr 24 04:58:24 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"per_page 参数生效，返回条数与请求一致","182","test_search_repo_pagination","testcases.api","Fri Apr 24 04:58:10 UTC 2026","passed","Fri Apr 24 04:58:10 UTC 2026","TestGitHubSearchRepo","test_github","",""
"不传 Key 应返回鉴权失败","1026","test_missing_api_key","testcases.api","Fri Apr 24 04:58:19 UTC 2026","passed","Fri Apr 24 04:58:20 UTC 2026","TestWeatherAPI","test_weather","",""
"空字段提交应出现错误提示，不得登录成功","0","test_login_with_empty_fields[empty_all]","testcases.ui","Fri Apr 24 04:58:24 UTC 2026","broken","Fri Apr 24 04:58:24 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[\u81ea\u52a8\u5316\u6d4b\u8bd5]","testcases.ui","Fri Apr 24 04:58:22 UTC 2026","broken","Fri Apr 24 04:58:22 UTC 2026","TestBaiduSearch","test_baidu","",""
"登录成功后截图，附加到 Allure 报告","0","test_login_success_screenshot","testcases.ui","Fri Apr 24 04:58:24 UTC 2026","broken","Fri Apr 24 04:58:24 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"错误用户名或密码应显示错误提示，不得登录成功","0","test_login_with_invalid_credentials[wrong_both]","testcases.ui","Fri Apr 24 04:58:24 UTC 2026","broken","Fri Apr 24 04:58:24 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"空字段提交应出现错误提示，不得登录成功","0","test_login_with_empty_fields[empty_username]","testcases.ui","Fri Apr 24 04:58:24 UTC 2026","broken","Fri Apr 24 04:58:24 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
