"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"空字段提交应出现错误提示，不得登录成功","0","test_login_with_empty_fields[empty_all]","testcases.ui","Sun Apr 26 05:15:43 UTC 2026","broken","Sun Apr 26 05:15:43 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"不存在的仓库应返回 404","44","test_get_nonexistent_repo","testcases.api","Sun Apr 26 05:15:30 UTC 2026","passed","Sun Apr 26 05:15:30 UTC 2026","TestGitHubRepo","test_github","",""
"空字段提交应出现错误提示，不得登录成功","0","test_login_with_empty_fields[empty_password]","testcases.ui","Sun Apr 26 05:15:43 UTC 2026","broken","Sun Apr 26 05:15:43 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"API 响应 Content-Type 应为 application/json","18","test_content_type_is_json","testcases.api","Sun Apr 26 05:15:31 UTC 2026","passed","Sun Apr 26 05:15:31 UTC 2026","TestGitHubResponseHeaders","test_github","",""
"搜索后截图，附加到 Allure 报告","0","test_search_with_screenshot","testcases.ui","Sun Apr 26 05:15:43 UTC 2026","broken","Sun Apr 26 05:15:43 UTC 2026","TestBaiduSearch","test_baidu","",""
"不存在的用户名应返回 404","44","test_get_nonexistent_user","testcases.api","Sun Apr 26 05:15:30 UTC 2026","passed","Sun Apr 26 05:15:30 UTC 2026","TestGitHubUser","test_github","",""
"获取 torvalds 用户信息，字段应完整","59","test_get_known_user","testcases.api","Sun Apr 26 05:15:30 UTC 2026","passed","Sun Apr 26 05:15:30 UTC 2026","TestGitHubUser","test_github","",""
"按关键词搜索仓库，应返回结果且字段完整","318","test_search_repo_by_keyword[pytest]","testcases.api","Sun Apr 26 05:15:29 UTC 2026","passed","Sun Apr 26 05:15:29 UTC 2026","TestGitHubSearchRepo","test_github","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[   ]","testcases.ui","Sun Apr 26 05:15:42 UTC 2026","broken","Sun Apr 26 05:15:42 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[Pytest\u6846\u67b6]","testcases.ui","Sun Apr 26 05:15:42 UTC 2026","broken","Sun Apr 26 05:15:42 UTC 2026","TestBaiduSearch","test_baidu","",""
"获取 torvalds/linux 的 topics，响应应包含 names 数组","124","test_get_repo_topics","testcases.api","Sun Apr 26 05:15:30 UTC 2026","passed","Sun Apr 26 05:15:31 UTC 2026","TestGitHubRepo","test_github","",""
"校验顶层响应字段完整性","1965","test_response_fields_completeness","testcases.api","Sun Apr 26 05:15:35 UTC 2026","passed","Sun Apr 26 05:15:37 UTC 2026","TestWeatherAPI","test_weather","",""
"空字段提交应出现错误提示，不得登录成功","0","test_login_with_empty_fields[empty_username]","testcases.ui","Sun Apr 26 05:15:44 UTC 2026","broken","Sun Apr 26 05:15:44 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"打开百度首页，标题应包含'百度'","0","test_homepage_title","testcases.ui","Sun Apr 26 05:15:42 UTC 2026","broken","Sun Apr 26 05:15:42 UTC 2026","TestBaiduSearch","test_baidu","",""
"搜索框和搜索按钮应在首页存在于 DOM 中（百度弹窗可能遮挡 CSS visibility）","0","test_search_input_visible","testcases.ui","Sun Apr 26 05:15:42 UTC 2026","broken","Sun Apr 26 05:15:42 UTC 2026","TestBaiduSearch","test_baidu","",""
