"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"按关键词搜索仓库，应返回结果且字段完整","225","test_search_repo_by_keyword[pytest]","testcases.api","Fri May 01 05:45:52 UTC 2026","passed","Fri May 01 05:45:52 UTC 2026","TestGitHubSearchRepo","test_github","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","1251","test_get_weather_success[110000-\u5317\u4eac]","testcases.api","Fri May 01 05:45:54 UTC 2026","passed","Fri May 01 05:45:55 UTC 2026","TestWeatherAPI","test_weather","",""
"按关键词搜索仓库，应返回结果且字段完整","190","test_search_repo_by_keyword[playwright]","testcases.api","Fri May 01 05:45:52 UTC 2026","passed","Fri May 01 05:45:53 UTC 2026","TestGitHubSearchRepo","test_github","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[Pytest\u6846\u67b6]","testcases.ui","Fri May 01 05:46:05 UTC 2026","broken","Fri May 01 05:46:05 UTC 2026","TestBaiduSearch","test_baidu","",""
"extensions=all 返回预报数据，应包含 forecasts 字段","1090","test_forecast_weather","testcases.api","Fri May 01 05:46:03 UTC 2026","passed","Fri May 01 05:46:04 UTC 2026","TestWeatherAPI","test_weather","",""
"按关键词搜索仓库，应返回结果且字段完整","245","test_search_repo_by_keyword[requests]","testcases.api","Fri May 01 05:45:53 UTC 2026","passed","Fri May 01 05:45:53 UTC 2026","TestGitHubSearchRepo","test_github","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[@#$%]","testcases.ui","Fri May 01 05:46:06 UTC 2026","broken","Fri May 01 05:46:06 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[\u81ea\u52a8\u5316\u6d4b\u8bd5]","testcases.ui","Fri May 01 05:46:05 UTC 2026","broken","Fri May 01 05:46:05 UTC 2026","TestBaiduSearch","test_baidu","",""
"空字段提交应出现错误提示，不得登录成功","0","test_login_with_empty_fields[empty_username]","testcases.ui","Fri May 01 05:46:07 UTC 2026","broken","Fri May 01 05:46:07 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"校验顶层响应字段完整性","2044","test_response_fields_completeness","testcases.api","Fri May 01 05:45:59 UTC 2026","passed","Fri May 01 05:46:01 UTC 2026","TestWeatherAPI","test_weather","",""
"不存在的仓库应返回 404","24","test_get_nonexistent_repo","testcases.api","Fri May 01 05:45:54 UTC 2026","passed","Fri May 01 05:45:54 UTC 2026","TestGitHubRepo","test_github","",""
"传入无效城市编码，接口应返回错误或 lives 数据为空/无效","1052","test_invalid_city_code","testcases.api","Fri May 01 05:46:01 UTC 2026","passed","Fri May 01 05:46:02 UTC 2026","TestWeatherAPI","test_weather","",""
