"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"空字段提交应出现错误提示，不得登录成功","0","test_login_with_empty_fields[empty_all]","testcases.ui","Fri Mar 20 04:19:08 UTC 2026","broken","Fri Mar 20 04:19:08 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"传入无效城市编码，接口应返回错误或 lives 数据为空/无效","976","test_invalid_city_code","testcases.api","Fri Mar 20 04:19:02 UTC 2026","passed","Fri Mar 20 04:19:03 UTC 2026","TestWeatherAPI","test_weather","",""
"搜索框和搜索按钮应在首页存在于 DOM 中（百度弹窗可能遮挡 CSS visibility）","0","test_search_input_visible","testcases.ui","Fri Mar 20 04:19:07 UTC 2026","broken","Fri Mar 20 04:19:07 UTC 2026","TestBaiduSearch","test_baidu","",""
"按关键词搜索仓库，应返回结果且字段完整","223","test_search_repo_by_keyword[playwright]","testcases.api","Fri Mar 20 04:18:54 UTC 2026","passed","Fri Mar 20 04:18:54 UTC 2026","TestGitHubSearchRepo","test_github","",""
"空字段提交应出现错误提示，不得登录成功","0","test_login_with_empty_fields[empty_password]","testcases.ui","Fri Mar 20 04:19:08 UTC 2026","broken","Fri Mar 20 04:19:08 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"获取 torvalds/linux 的 topics，响应应包含 names 数组","141","test_get_repo_topics","testcases.api","Fri Mar 20 04:18:55 UTC 2026","passed","Fri Mar 20 04:18:55 UTC 2026","TestGitHubRepo","test_github","",""
"按关键词搜索仓库，应返回结果且字段完整","419","test_search_repo_by_keyword[pytest]","testcases.api","Fri Mar 20 04:18:54 UTC 2026","passed","Fri Mar 20 04:18:54 UTC 2026","TestGitHubSearchRepo","test_github","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","988","test_get_weather_success[310000-\u4e0a\u6d77]","testcases.api","Fri Mar 20 04:18:57 UTC 2026","passed","Fri Mar 20 04:18:58 UTC 2026","TestWeatherAPI","test_weather","",""
"按关键词搜索仓库，应返回结果且字段完整","180","test_search_repo_by_keyword[requests]","testcases.api","Fri Mar 20 04:18:54 UTC 2026","passed","Fri Mar 20 04:18:55 UTC 2026","TestGitHubSearchRepo","test_github","",""
"不存在的仓库应返回 404","48","test_get_nonexistent_repo","testcases.api","Fri Mar 20 04:18:55 UTC 2026","passed","Fri Mar 20 04:18:55 UTC 2026","TestGitHubRepo","test_github","",""
"获取 torvalds 用户信息，字段应完整","55","test_get_known_user","testcases.api","Fri Mar 20 04:18:55 UTC 2026","passed","Fri Mar 20 04:18:55 UTC 2026","TestGitHubUser","test_github","",""
"不存在的用户名应返回 404","47","test_get_nonexistent_user","testcases.api","Fri Mar 20 04:18:55 UTC 2026","passed","Fri Mar 20 04:18:55 UTC 2026","TestGitHubUser","test_github","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[@#$%]","testcases.ui","Fri Mar 20 04:19:07 UTC 2026","broken","Fri Mar 20 04:19:07 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","976","test_get_weather_success[440100-\u5e7f\u5dde]","testcases.api","Fri Mar 20 04:18:58 UTC 2026","passed","Fri Mar 20 04:18:59 UTC 2026","TestWeatherAPI","test_weather","",""
"错误用户名或密码应显示错误提示，不得登录成功","0","test_login_with_invalid_credentials[wrong_both]","testcases.ui","Fri Mar 20 04:19:08 UTC 2026","broken","Fri Mar 20 04:19:08 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"校验顶层响应字段完整性","1977","test_response_fields_completeness","testcases.api","Fri Mar 20 04:19:00 UTC 2026","passed","Fri Mar 20 04:19:02 UTC 2026","TestWeatherAPI","test_weather","",""
"空字段提交应出现错误提示，不得登录成功","0","test_login_with_empty_fields[empty_username]","testcases.ui","Fri Mar 20 04:19:08 UTC 2026","broken","Fri Mar 20 04:19:08 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"错误用户名或密码应显示错误提示，不得登录成功","0","test_login_with_invalid_credentials[wrong_password]","testcases.ui","Fri Mar 20 04:19:08 UTC 2026","broken","Fri Mar 20 04:19:08 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"不传 Key 应返回鉴权失败","963","test_missing_api_key","testcases.api","Fri Mar 20 04:19:03 UTC 2026","passed","Fri Mar 20 04:19:04 UTC 2026","TestWeatherAPI","test_weather","",""
"使用官方公开测试账号登录，应跳转到 Secure Area 页","0","test_login_success","testcases.ui","Fri Mar 20 04:19:08 UTC 2026","broken","Fri Mar 20 04:19:08 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"登录成功后页面应有退出链接，且不再显示登录按钮","0","test_login_redirect_and_elements","testcases.ui","Fri Mar 20 04:19:08 UTC 2026","broken","Fri Mar 20 04:19:08 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"extensions=all 返回预报数据，应包含 forecasts 字段","989","test_forecast_weather","testcases.api","Fri Mar 20 04:19:04 UTC 2026","passed","Fri Mar 20 04:19:05 UTC 2026","TestWeatherAPI","test_weather","",""
"搜索后截图，附加到 Allure 报告","0","test_search_with_screenshot","testcases.ui","Fri Mar 20 04:19:08 UTC 2026","broken","Fri Mar 20 04:19:08 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[Python]","testcases.ui","Fri Mar 20 04:19:06 UTC 2026","broken","Fri Mar 20 04:19:06 UTC 2026","TestBaiduSearch","test_baidu","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[   ]","testcases.ui","Fri Mar 20 04:19:07 UTC 2026","broken","Fri Mar 20 04:19:07 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","1366","test_get_weather_success[110000-\u5317\u4eac]","testcases.api","Fri Mar 20 04:18:56 UTC 2026","passed","Fri Mar 20 04:18:57 UTC 2026","TestWeatherAPI","test_weather","",""
"获取仓库贡献者列表，返回数组且字段完整
        注：torvalds/linux 贡献者数量过大，GitHub API 会返回 403，
        改用 pytest/pytest（规模适中的知名仓库）
        ","281","test_get_repo_contributors","testcases.api","Fri Mar 20 04:18:55 UTC 2026","passed","Fri Mar 20 04:18:56 UTC 2026","TestGitHubRepo","test_github","",""
"空关键词应返回 422 参数错误","43","test_search_repo_empty_keyword","testcases.api","Fri Mar 20 04:18:55 UTC 2026","passed","Fri Mar 20 04:18:55 UTC 2026","TestGitHubSearchRepo","test_github","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[Pytest\u6846\u67b6]","testcases.ui","Fri Mar 20 04:19:07 UTC 2026","broken","Fri Mar 20 04:19:07 UTC 2026","TestBaiduSearch","test_baidu","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[123456]","testcases.ui","Fri Mar 20 04:19:07 UTC 2026","broken","Fri Mar 20 04:19:07 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[\u6d4b\u8bd5\u5f00\u53d1\u5de5\u7a0b\u5e08]","testcases.ui","Fri Mar 20 04:19:07 UTC 2026","broken","Fri Mar 20 04:19:07 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","985","test_get_weather_success[440300-\u6df1\u5733]","testcases.api","Fri Mar 20 04:18:59 UTC 2026","passed","Fri Mar 20 04:19:00 UTC 2026","TestWeatherAPI","test_weather","",""
"错误用户名或密码应显示错误提示，不得登录成功","0","test_login_with_invalid_credentials[wrong_username]","testcases.ui","Fri Mar 20 04:19:08 UTC 2026","broken","Fri Mar 20 04:19:08 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[\u81ea\u52a8\u5316\u6d4b\u8bd5]","testcases.ui","Fri Mar 20 04:19:07 UTC 2026","broken","Fri Mar 20 04:19:07 UTC 2026","TestBaiduSearch","test_baidu","",""
"打开百度首页，标题应包含'百度'","0","test_homepage_title","testcases.ui","Fri Mar 20 04:19:07 UTC 2026","broken","Fri Mar 20 04:19:07 UTC 2026","TestBaiduSearch","test_baidu","",""
