"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"登录成功后截图，附加到 Allure 报告","0","test_login_success_screenshot","testcases.ui","Wed Mar 18 03:31:48 UTC 2026","broken","Wed Mar 18 03:31:48 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"正常关键词搜索，应返回结果列表","0","test_search_returns_results[Python]","testcases.ui","Wed Mar 18 03:31:46 UTC 2026","broken","Wed Mar 18 03:31:46 UTC 2026","TestBaiduSearch","test_baidu","",""
"错误用户名或密码应显示错误提示，不得登录成功","0","test_login_with_invalid_credentials[wrong_password]","testcases.ui","Wed Mar 18 03:31:48 UTC 2026","broken","Wed Mar 18 03:31:48 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"获取 github 组织信息，字段应完整","67","test_get_known_org","testcases.api","Wed Mar 18 03:31:26 UTC 2026","passed","Wed Mar 18 03:31:26 UTC 2026","TestGitHubOrg","test_github","",""
"获取 torvalds/linux 的 topics，响应应包含 names 数组","108","test_get_repo_topics","testcases.api","Wed Mar 18 03:31:25 UTC 2026","passed","Wed Mar 18 03:31:26 UTC 2026","TestGitHubRepo","test_github","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","1441","test_get_weather_success[110000-\u5317\u4eac]","testcases.api","Wed Mar 18 03:31:26 UTC 2026","passed","Wed Mar 18 03:31:28 UTC 2026","TestWeatherAPI","test_weather","",""
"获取 torvalds 用户信息，字段应完整","55","test_get_known_user","testcases.api","Wed Mar 18 03:31:25 UTC 2026","passed","Wed Mar 18 03:31:25 UTC 2026","TestGitHubUser","test_github","",""
"不存在的用户名应返回 404","39","test_get_nonexistent_user","testcases.api","Wed Mar 18 03:31:25 UTC 2026","passed","Wed Mar 18 03:31:25 UTC 2026","TestGitHubUser","test_github","",""
"传入无效城市编码，接口应返回错误或 lives 数据为空/无效","10253","test_invalid_city_code","testcases.api","Wed Mar 18 03:31:33 UTC 2026","broken","Wed Mar 18 03:31:43 UTC 2026","TestWeatherAPI","test_weather","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[   ]","testcases.ui","Wed Mar 18 03:31:47 UTC 2026","broken","Wed Mar 18 03:31:47 UTC 2026","TestBaiduSearch","test_baidu","",""
"不存在的仓库应返回 404","42","test_get_nonexistent_repo","testcases.api","Wed Mar 18 03:31:25 UTC 2026","passed","Wed Mar 18 03:31:25 UTC 2026","TestGitHubRepo","test_github","",""
"按关键词搜索仓库，应返回结果且字段完整","63","test_search_repo_by_keyword[pytest]","testcases.api","Wed Mar 18 03:31:25 UTC 2026","failed","Wed Mar 18 03:31:25 UTC 2026","TestGitHubSearchRepo","test_github","",""
"特殊字符/数字搜索不应导致页面崩溃
        纯空格等无效关键词百度可能不跳转结果页，只断言页面正常响应即可
        ","0","test_special_character_search[123456]","testcases.ui","Wed Mar 18 03:31:47 UTC 2026","broken","Wed Mar 18 03:31:47 UTC 2026","TestBaiduSearch","test_baidu","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","999","test_get_weather_success[440100-\u5e7f\u5dde]","testcases.api","Wed Mar 18 03:31:28 UTC 2026","passed","Wed Mar 18 03:31:29 UTC 2026","TestWeatherAPI","test_weather","",""
"正常城市编码应返回天气数据，状态码200，infocode为10000","986","test_get_weather_success[440300-\u6df1\u5733]","testcases.api","Wed Mar 18 03:31:29 UTC 2026","passed","Wed Mar 18 03:31:30 UTC 2026","TestWeatherAPI","test_weather","",""
"错误用户名或密码应显示错误提示，不得登录成功","0","test_login_with_invalid_credentials[wrong_username]","testcases.ui","Wed Mar 18 03:31:48 UTC 2026","broken","Wed Mar 18 03:31:48 UTC 2026","TestExpandTestingLogin","test_opencart_login","",""
"空关键词应返回 422 参数错误","19","test_search_repo_empty_keyword","testcases.api","Wed Mar 18 03:31:25 UTC 2026","failed","Wed Mar 18 03:31:25 UTC 2026","TestGitHubSearchRepo","test_github","",""
"校验顶层响应字段完整性","2037","test_response_fields_completeness","testcases.api","Wed Mar 18 03:31:30 UTC 2026","passed","Wed Mar 18 03:31:33 UTC 2026","TestWeatherAPI","test_weather","",""
"GitHub API 响应头应包含 Rate-Limit 相关字段","18","test_rate_limit_headers","testcases.api","Wed Mar 18 03:31:26 UTC 2026","passed","Wed Mar 18 03:31:26 UTC 2026","TestGitHubResponseHeaders","test_github","",""
"获取用户仓库列表，应为数组且每项含仓库基本信息","104","test_get_user_repos","testcases.api","Wed Mar 18 03:31:25 UTC 2026","passed","Wed Mar 18 03:31:25 UTC 2026","TestGitHubUser","test_github","",""
